,file,time,rv,e_rv,exptime,airmass,berv,inst,fwhm,e_fwhm,contrast,e_contrast,bis,ha,caii,CCF FWHM [km/s] Raw,CCF FWHM [km/s] Correction,CCF Contrast Raw,rv_fit,residuals
0,DS1.001_spec_harpsn.fits,59337.99351761255,7.61348510177794,0.104,300.0,1.125064607679363,-0.58113114585551,harpsn,6.919594180754252,0.0121891266012885,-453570.0112403727,543.0213229658852,-46.46666666600818,0.1738252571140728,0.1000341710439476,6.856131908420094,0.9350074227897556,-457768.3819777549,8.662765979038943,-1.049280877261003
1,DS1.002_spec_harpsn.fits,59337.99727803373,7.697485101777943,0.103,300.0,1.130286538716572,-0.590573336366681,harpsn,6.920891042078483,0.0122971603098788,-453546.9462774083,547.7085158940819,-45.41666666600808,0.1727737588242232,0.1006529486449455,6.857441173195194,0.9350044772564046,-457743.4816244712,8.678776941293638,-0.9812918395156949
2,DS1.003_spec_harpsn.fits,59338.004790102575,10.239485101777973,0.103,300.0,1.1427261542207447,-0.609292805922928,harpsn,6.91957403889784,0.0122705340409588,-453441.1112743525,546.4043209152727,-43.39999999934136,0.1749953709788476,0.107123767146675,6.856112784285622,0.9349985930172394,-457638.23327622266,8.710846905226715,1.5286381965512579
3,DS1.004_spec_expres.fits,59338.3017950247,10.673015688163872,0.11,185.27099999999916,1.306683064778232,-4.3670923603018e-06,expres,6.781068063866734,0.0153021201676163,-349450.2056360432,544.1821921490829,-57.13333333268744,0.1722162178088912,0.1030565961953515,6.692954071030757,1.0896099714421472,-354050.7829878616,9.976948004973648,0.6960676831902237
4,DS1.005_spec_expres.fits,59338.3043592447,10.135015688163875,0.11,185.8879989999995,1.317263445481414,-4.3851661114011e-06,expres,6.778577919633392,0.0155463667825562,-349661.9539652908,553.3706356869255,-55.63333333268751,0.1723232098814215,0.1009851097099672,6.690431512618247,1.0896076300696906,-354268.7487368696,9.987082011152518,0.1479336770113573
5,DS1.006_spec_expres.fits,59338.3069227147,10.556015688163868,0.11,185.2790010000089,1.328377335009296,-4.4030763119735e-06,expres,6.780198194483009,0.015192297967779,-349566.0129855454,540.5239196247421,-53.14999999935609,0.1728280567879799,0.0937398485605101,6.692073510492506,1.0896052893755417,-354169.2789807368,9.99718665860751,0.5588290295563567
6,DS1.007_spec_neid.fits,59340.14277101166,7.125444958673,0.116,54.813778,1.2887110900583705,,neid,6.959484594476129,0.0167196590408059,-359674.730417772,588.5107131062493,-48.44999999933928,0.1712249834671667,0.0988229002088822,6.896586063368578,0.9335558319141274,-362955.0508563068,7.190429170722011,-0.06498421204901028
7,DS1.008_spec_neid.fits,59340.14384932255,7.1354449586730055,0.117,54.761419,1.28404345352403,,neid,6.95782409735555,0.0164678447734852,-359701.4048993633,579.8605824120018,-45.66666666600684,0.1706133147965073,0.0992376775094499,6.8949105384838445,0.9335549453813572,-362983.54980712704,7.188976532599326,-0.05353157392632024
8,DS1.009_spec_neid.fits,59340.14492229463,7.916444958672997,0.117,54.825946,1.279482837431954,,neid,6.9524511380166665,0.0163946315850933,-359822.1464626988,577.9225524581177,-48.03333333267325,0.1703380108280162,0.0988475985156378,6.889488633964295,0.9335540632368474,-363110.533244136,7.187541404064417,0.7289035546085803
9,DS1.010_spec_expres.fits,59340.1911917447,5.853015688163879,0.104,246.14400000000103,1.184514964931698,-3.5310549015819e-06,expres,6.773813582031315,0.0146840734367338,-349674.730708849,524.2159797032184,-51.43333333269129,0.1726823433792837,0.0987558477663561,6.685894225250489,1.0878275841667606,-354272.9454533066,7.135547042311346,-1.2825313541474674
10,DS1.011_spec_expres.fits,59340.2185988947,8.044015688163867,0.104,236.6499990000083,1.159063730498715,-3.7480498561236e-06,expres,6.773392755200381,0.0151456991190816,-349622.4438026345,540.8562099354255,-51.416666666024575,0.1723134564336532,0.0952495364311923,6.685472136844636,1.0878013254611436,-354220.3272162482,7.113991650624161,0.930024037539706
11,DS1.012_spec_expres.fits,59340.2233571347,6.952015688163868,0.104,236.15699899999427,1.158064283549695,-3.7860417996616e-06,expres,6.776453493072013,0.0151577902587989,-349466.6261620575,540.7482397356907,-50.64999999935751,0.172207254380513,0.106642529213766,6.688573849371988,1.0877967665263002,-354058.18832221144,7.110958085059413,-0.15894239689554457
12,DS1.013_spec_harpsn.fits,59340.849931827725,7.913485101777951,0.102,300.0,1.4257020060261016,-0.249564032286131,harpsn,6.92027904685206,0.0110690907512823,-453697.0889973544,493.4753081569393,-43.93333333267591,0.175744293528481,0.0989190514871823,6.857139090271191,0.932687291097309,-457874.6934068672,8.397396682833907,-0.4839115810559562
13,DS1.014_spec_harpsn.fits,59340.85367820177,8.784485101777932,0.103,300.0,1.3993021074535552,-0.256835114622227,harpsn,6.915985385592158,0.0111488117318037,-453731.1510809354,497.3299607255653,-46.19999999934282,0.1753149364569797,0.0956115402510909,6.852806296642914,0.932684145043512,-457914.3016782649,8.412705045471496,0.3717800563064362
14,DS1.015_spec_harpsn.fits,59340.857446729184,5.908485101777956,0.103,300.0,1.3744283703432063,-0.264294762598042,harpsn,6.915567778770456,0.0117267283852259,-453780.46143379307,523.1438645679846,-46.69999999934227,0.1757054277933723,0.10507546467048,6.852385270227366,0.9326809803674408,-457964.5501489737,8.428150282198128,-2.519665180420173
15,DS1.016_spec_neid.fits,59341.175054405794,10.006444958673,0.122,54.771644,1.178127052594084,,neid,6.959079455509829,0.0168550232700222,-359467.9446219912,592.8979609377874,-49.3666666660058,0.1714339303657364,0.0991799476983641,6.896293878126113,0.9326937410636308,-362740.63033592456,9.78796617037809,0.2184787882949113
16,DS1.017_spec_neid.fits,59341.17827508783,12.351444958673,0.123,54.830613,1.171057251460917,,neid,6.956791547015249,0.0173393032139706,-359417.570955416,610.0450566236016,-46.9999999993401,0.1709489358177997,0.0987928393066377,6.893985499070782,0.9326910352440432,-362691.9609576219,9.801226953718754,2.550218004954246
17,DS1.018_spec_neid.fits,59341.17935044968,12.093444958673004,0.123,54.771833,1.1688178240683234,,neid,6.957342025717029,0.0165188912713097,-359345.13344291,581.0357596427347,-46.73333333267313,0.1712886223578179,0.098610332575084,6.89454111459727,0.9326901317887748,-362618.3319649823,9.805647373574788,2.2877975850982164
18,DS1.019_spec_expres.fits,59341.2337648447,10.12401568816388,0.107,187.57699999998783,1.154967283870381,-3.8773791156999e-06,expres,6.771592119958331,0.0153063803005122,-349430.2206807177,545.5372637489784,-54.51666666602324,0.1723879478998245,0.0994982770064376,6.6838087711968965,1.0868119198615698,-354019.5433229195,10.024025298918165,0.0999903892457148
19,DS1.020_spec_expres.fits,59341.2391689947,10.99601568816388,0.107,187.07299999999412,1.157570849028974,-3.9203709364268e-06,expres,6.772000962095186,0.0152363435892851,-349580.0059138582,543.2005365548994,-53.88333333269128,0.1725643493591059,0.1029512901763104,6.684223842904544,1.086806628874033,-354170.6848867563,10.045085118522843,0.9509305696410362
20,DS1.021_spec_expres.fits,59341.2433170547,11.358015688163874,0.107,187.2649990000049,1.160434724957498,-3.953278691792e-06,expres,6.77132159108114,0.015258274003753,-349476.9632186928,543.8713190740779,-55.71666666602376,0.1722555763193038,0.0965919483836659,6.683536209880687,1.0868025676521575,-354067.1932217225,10.06116525631117,1.2968504318527039
21,DS1.022_spec_expres.fits,59342.1917746147,10.341015688163878,0.107,178.9970000000036,1.173079684140532,-3.5502603705093e-06,expres,6.772656021797296,0.0146622971626477,-349632.0125833223,522.6463657738753,-52.06666666602469,0.1719481693503629,0.0951738492388748,6.685041489630565,1.0858590477152723,-354214.3095309951,10.295710074502521,0.045305613661357214
22,DS1.023_spec_expres.fits,59342.1957127247,11.588015688163878,0.107,179.03499900001094,1.167658399458334,-3.5810959594443e-06,expres,6.771795182204189,0.0151633218596487,-349523.80692498066,540.4622576720245,-53.28333333269,0.1721248442453079,0.0973276702157569,6.684170005311316,1.0858551145619677,-354105.83960603684,10.281656711278202,1.3063589768856758
23,DS1.024_spec_neid.fits,59342.28777966088,10.331444958673003,0.117,54.817167,1.2077866607703944,,neid,6.95438114967355,0.0164045065647913,-359649.2813182311,577.7739540980142,-46.88333333267333,0.171319804459447,0.0990788754033877,6.891681183813544,0.9317444046545952,-362921.3418008302,9.931556097202204,0.3998888614707994
24,DS1.025_spec_neid.fits,59342.2888645767,11.291444958672995,0.117,54.863782,1.2110621682763778,,neid,6.956986347294039,0.0163465056711339,-359845.53697786806,575.7914052220793,-46.98333333267301,0.170521760620028,0.0987877609202065,6.8943101999988805,0.9317434746898192,-363116.8913592149,9.927212849861196,1.3642321088118
25,DS1.026_spec_neid.fits,59342.28994091179,12.831444958673003,0.117,54.824806,1.2143789164034111,,neid,6.954107293115623,0.0163352271175953,-359720.4102321143,575.4683205542859,-47.29999999933973,0.1705510649035168,0.0989918256088931,6.891405086106097,0.9317425520791212,-362993.36594232207,9.922899605029471,2.9085453536435324
26,DS1.027_spec_harpsn.fits,59343.84727792999,7.680485101777947,0.103,300.0,1.4234901755589358,-0.249067095704498,harpsn,6.915109520982452,0.0116057994776002,-454055.232100368,518.0940273057885,-44.94999999934251,0.1761958839639716,0.105334352267257,6.852273615274678,0.93009998849191,-458218.9554646512,8.721491712948078,-1.0410066111701308
27,DS1.028_spec_harpsn.fits,59343.8548182016,7.982485101777968,0.104,300.0,1.371537876995799,-0.263646460953719,harpsn,6.914218196692797,0.0114526539621503,-453771.6419187471,510.9237561582426,-43.99999999934345,0.1747747427873031,0.1042712307262458,6.851375024593065,0.9300932984707396,-457933.7917477549,8.753823145747022,-0.7713380439690543
28,DS1.029_spec_harpsn.fits,59343.85857296733,8.213485101777962,0.104,300.0,1.3480857024495438,-0.271122726282875,harpsn,6.91372826874024,0.0111087572100423,-453872.5526141896,495.6819517452655,-44.1666666660101,0.1733393100223243,0.1063734770558585,6.850881054808479,0.930089967069947,-458036.1959738824,8.769959413305463,-0.5564743115275004
29,DS1.030_spec_expres.fits,59344.24215234471,9.284015688163876,0.105,165.67999999999188,1.147051763292507,-3.9540171471293e-06,expres,6.771229142678299,0.0146633693672152,-349920.18934042094,523.7240801722126,-57.74999999935556,0.1721175070489204,0.1013822245572773,6.683935944724107,1.0837639915963988,-354490.1990785263,10.35109153850128,-1.0670758503374032
30,DS1.031_spec_expres.fits,59344.2498140147,9.34401568816388,0.105,165.22899899999965,1.154040575520105,-4.0143677412243e-06,expres,6.776179788285707,0.0148656560406983,-349718.70995983813,530.1699251159229,-54.616666666022674,0.1720623069396831,0.10448576197446,6.688952482511569,1.0837560656688587,-354279.21789114125,10.377509296627217,-1.0334936084633366
31,DS1.032_spec_expres.fits,59344.2545044247,9.296015688163877,0.105,164.07400100000302,1.159609273841681,-4.0510838675525e-06,expres,6.775601433439928,0.0147705913988801,-349789.5453593844,526.9200538019081,-56.59999999935517,0.1721781432581754,0.1055927490952121,6.688367371203829,1.083751213447621,-354351.7294135664,10.39351378036529,-1.0974980922014126
32,DS1.033_spec_neid.fits,59344.30496761247,12.420444958673002,0.117,54.824683,1.2605368402074086,,neid,6.953548403557365,0.0164724778226247,-359706.36932894285,580.2668219608055,-47.11666666600671,0.1703692719379288,0.0991417861937005,6.891080145875125,0.9299730231253156,-362967.1397297389,10.55716876354319,1.8632761951298118
33,DS1.034_spec_neid.fits,59344.30604331286,11.808444958672991,0.117,54.851699,1.2649692577851,,neid,6.951566290201631,0.0162481799812391,-359688.0654097494,572.5518701081188,-44.09999999934154,0.1705517834869558,0.0990310319242531,6.889080188213744,0.9299720680905164,-362950.5481396605,10.56047951023086,1.247965448442132
34,DS1.035_spec_neid.fits,59344.30927421057,12.154444958672997,0.117,54.844008,1.2788105885308785,,neid,6.954500338566892,0.0162078020538473,-359699.25256588106,570.883341489724,-45.4499999993415,0.1710936556584396,0.0987216269380762,6.892041224986047,0.9299691996081656,-362959.02651927946,10.570376953724423,1.5840680049485734
35,DS1.036_spec_expres.fits,59346.2160214647,7.179015688163872,0.11,187.9969990000049,1.133851992657678,-3.7418904065919e-06,expres,6.7735321497652645,0.0152616244831096,-349720.95894934493,543.7588452669565,-56.01666666602172,0.1718785244151767,0.1049122315963367,6.686606076416768,1.0816824685322366,-354267.3415807902,7.126098804869076,0.05291688329479616
36,DS1.037_spec_expres.fits,59346.2200198347,8.317015688163877,0.11,188.9719999999958,1.132814437186238,-3.7736261526161e-06,expres,6.773741510132646,0.0154386109025131,-349516.85100610065,549.7158192371073,-55.849999999355006,0.1719922850030991,0.1051214388115975,6.6868188472728045,1.081678209936436,-354060.2573847896,7.129419181331055,1.187596506832823
37,DS1.038_spec_expres.fits,59346.2279377247,6.710015688163878,0.11,191.12399900000025,1.132704720398143,-3.8364975204479e-06,expres,6.772639560026383,0.0155525257163408,-349429.3027539718,553.7143817268959,-58.54999999935504,0.1721582227608798,0.1004378867256298,6.68570393483616,1.0816697766650598,-353973.0060335045,7.136428945752556,-0.42641325758867765
38,DS1.039_spec_expres.fits,59348.296737954704,10.315015688163868,0.107,187.07799999999537,1.241823926989451,-4.3486556067808e-06,expres,6.776699766685367,0.0149311484837538,-349522.5926814436,531.706047327158,-53.46666666602336,0.1721493321751392,0.1024521027359464,6.690178496908228,1.0794310572242556,-354042.8216332678,9.217238719856283,1.0977769683075849
39,DS1.040_spec_expres.fits,59348.31637050471,7.930015688163877,0.105,184.0600000000212,1.323855098413711,-4.4830098030641e-06,expres,6.777663060824133,0.0155748236879834,-349559.73914539727,554.7187854301278,-55.41666666602177,0.171962797138504,0.099815735254533,6.691157702203073,1.0794096397144353,-354078.955690585,9.13156084534508,-1.2015451571812026
40,DS1.041_spec_expres.fits,59348.3370066547,8.504015688163875,0.105,187.5570000000021,1.445311570904764,-4.6127034276619e-06,expres,6.776429526724083,0.015171124524127,-349529.52096592553,540.5142962068467,-54.26666666602311,0.1720917783102389,0.1098213946179031,6.689911850029618,1.0793871267952362,-354049.8319607509,9.041483208966852,-0.5374675208029771
41,DS1.042_spec_expres.fits,59350.2849767847,11.900015688163876,0.104,176.7740000000046,1.197670669160846,-4.245440791168e-06,expres,6.778661879636018,0.0151293745567775,-349663.34495918563,539.6503125702463,-53.76666666602219,0.171870775652188,0.1070659324284701,6.692520023674049,1.077233777391151,-354163.988870613,10.917346641607061,0.9826690465568149
42,DS1.043_spec_expres.fits,59350.2874481747,12.216015688163878,0.104,176.30699999998356,1.204679364386415,-4.2634280374732e-06,expres,6.774039491605222,0.0148831336839591,-349672.082299086,531.2436062821942,-53.0499999993569,0.1719273435726609,0.1050395158617773,6.6878385404566405,1.0772310293571763,-354179.0789770034,10.922325135909876,1.2936905522540023
43,DS1.044_spec_expres.fits,59350.3017441747,12.905015688163871,0.104,174.97899999999404,1.252328256066901,-4.3649674170126e-06,expres,6.773483185701982,0.0150013955015952,-349548.02453803254,535.3450305845042,-53.91666666602244,0.1720925221282478,0.103203925554284,6.687277624295739,1.0772151329149733,-354054.0410946456,10.950119076319314,1.954896611844557
44,DS1.045_spec_harpsn.fits,59351.87682489304,7.220485101777967,0.102,300.0,1.216515004129081,-0.296253833165097,harpsn,6.917255570417727,0.011266593978558,-453955.20144187583,502.4781516974542,-43.716666666009765,0.175594107229941,0.104828643027927,6.855450912841039,0.9226144417371984,-458047.7908480254,7.130550569517664,0.08993453226030379
45,DS1.046_spec_harpsn.fits,59351.88058439221,6.297485101777966,0.102,300.0,1.2017538622726078,-0.304468689051972,harpsn,6.915404828142349,0.0114803540340694,-453617.2410670067,511.80931670559926,-42.78333333267681,0.1740786442937642,0.1051915555858169,6.853583970646159,0.9226108033166198,-457708.969852694,7.127378546818834,-0.8298934450408684
46,DS1.047_spec_harpsn.fits,59351.88810511304,5.944485101777957,0.102,300.0,1.1750348707340204,-0.32122792013375,harpsn,6.916932687514181,0.0120570916592859,-453964.930705751,537.8581291883294,-48.81666666600904,0.1744121402560577,0.1067152805528509,6.85512658816188,0.9226035247484212,-458057.8969331162,7.121424539432355,-1.176939437654398
47,DS1.048_spec_expres.fits,59352.3033510647,7.99901568816388,0.107,173.07199999999236,1.250800320302953,-4.3541193177519e-06,expres,6.777595316068052,0.0154676174139406,-349655.7172508327,549.9456524910025,-53.98333333269039,0.1720709685856055,0.1019980123907342,6.691804268022028,1.0749669329192282,-354138.41417931,7.593309831903392,0.4057058562604876
48,DS1.049_spec_expres.fits,59352.3170967147,9.10901568816388,0.107,177.12699900000325,1.310496364092381,-4.4462719369639e-06,expres,6.7743804457458285,0.0152274038881967,-349530.55019913625,541.4913501786001,-53.7499999993569,0.1717123724981552,0.1032792274074036,6.688550655380895,1.074951419417291,-354015.84684940486,7.633510483846883,1.475505204316998
49,DS1.050_spec_expres.fits,59352.3196067547,7.480015688163874,0.107,176.95100000000218,1.323002143403342,-4.4625489774259e-06,expres,6.776263286526331,0.0151236604665531,-349739.3141012301,537.9661814835929,-51.83333333269014,0.1721542655616008,0.1076313764045181,6.690458105738967,1.0749485865269963,-354224.7237100525,7.640992799682106,-0.1609771115182319
50,DS1.051_spec_neid.fits,59353.11570090193,11.279444958672997,0.116,54.82346,1.349931892891173,,neid,6.95287880404506,0.0166331340886374,-359700.4019339532,585.8596136754386,-47.59999999933974,0.1711413459173026,0.0990328349330689,6.891517458005683,0.921689096030735,-362903.1364504177,10.704628210869334,0.5748167478036628
51,DS1.052_spec_neid.fits,59353.11677903773,8.970444958673,0.116,54.822699,1.3435494242287824,,neid,6.95640330517358,0.016763380082282,-359789.6500690453,590.2645709693269,-46.29999999933968,0.1712073794403845,0.0990390955712169,6.89507346519137,0.9216880458396914,-362989.8830727089,10.707562950105913,-1.737117991432914
52,DS1.053_spec_neid.fits,59353.12002237558,11.293444958673009,0.117,54.771176,1.325026771080475,,neid,6.955176656505195,0.016375002016383,-359738.25026719505,576.6139892219757,-46.2999999993405,0.1709414241050712,0.0990863998420513,6.893836326247091,0.9216848865587404,-362939.1477114596,10.716339890885724,0.5771050677872847
53,DS1.054_spec_harpsn.fits,59353.88784016294,11.148485101777965,0.105,300.0,1.1686577609653974,-0.314753251938822,harpsn,6.920120610167281,0.0120054074399467,-453785.2059533036,535.0720658962359,-45.41666666600752,0.1748536514950835,0.1031611138645499,6.858604770257504,0.9206573003365556,-457855.27253651054,10.23785960831862,0.9106254934593441
54,DS1.055_spec_harpsn.fits,59353.8915940942,11.823485101777976,0.105,300.0,1.1568037973290834,-0.323256182662042,harpsn,6.917570411600488,0.0112185771535862,-453726.5405992506,500.1134344363735,-42.98333333267552,0.1757517393414517,0.1046571993805678,6.856032183285353,0.9206536271617108,-457799.0896628481,10.224146916806871,1.5993381849711046
55,DS1.056_spec_harpsn.fits,59353.89910930626,10.289485101777927,0.106,300.0,1.1354776831732034,-0.34056067936632,harpsn,6.918002590362368,0.0120304584774893,-453691.5706802773,536.1744608783856,-44.11666666600856,0.1739278820185171,0.0980744513182648,6.856469228341372,0.9206462735862844,-457763.2242872312,10.196479051853034,0.09300604992489347
